Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 15.25      0.27     0.27 81795987     0.00     0.00  std::bitset<56ul>::reference::operator bool() const
 12.43      0.49     0.22 81795987     0.00     0.00  std::bitset<56ul>::operator[](unsigned long)
 11.30      0.69     0.20 71640744     0.00     0.00  Node::is_legal(unsigned long)
 11.02      0.89     0.20 82000389     0.00     0.00  std::_Base_bitset<1ul>::_S_maskbit(unsigned long)
  7.34      1.02     0.13  1279200     0.00     0.00  TrainMC::choose_next()
  6.78      1.14     0.12 81795987     0.00     0.00  std::bitset<56ul>::reference::~reference()
  5.37      1.23     0.10 163796440     0.00     0.00  std::_Base_bitset<1ul>::_S_whichbit(unsigned long)
  4.52      1.31     0.08 81795987     0.00     0.00  std::bitset<56ul>::reference::reference(std::bitset<56ul>&, unsigned long)
  3.95      1.38     0.07 81808404     0.00     0.00  std::_Base_bitset<1ul>::_M_getword(unsigned long)
  3.39      1.44     0.06  1280898     0.00     0.00  Node::add_evaluation(float)
  3.39      1.50     0.06 10155243     0.00     0.00  Node::has_visited(unsigned long)
  2.82      1.55     0.05     1599     0.00     0.00  std::bitset<56ul>::set(unsigned long, bool)
  2.26      1.59     0.04     3304     0.00     0.00  std::_Base_bitset<1ul>::_Base_bitset()
  1.98      1.63     0.04  2716999     0.00     0.00  Trainer::get_node(unsigned long)
  1.69      1.66     0.03  2740481     0.00     0.00  Node::get_parent()
  1.69      1.69     0.03  1436001     0.00     0.00  Trainer::find_next(unsigned long, unsigned long)
  1.13      1.71     0.02     1599     0.00     0.00  Node::Node(Game const&, unsigned long, unsigned long, unsigned long)
  0.56      1.72     0.01  1462915     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::size() const
  0.56      1.73     0.01   158400     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.56      1.74     0.01     5544     0.00     0.00  Node::get_probability(unsigned long)
  0.56      1.75     0.01     3200     0.00     0.00  std::bitset<56ul>::bitset()
  0.56      1.76     0.01       99     0.00     0.02  TrainMC::search(float*)
  0.56      1.77     0.01       99     0.00     0.00  Trainer::delete_tree(unsigned long)
  0.28      1.77     0.01        1     0.01     0.01  std::vector<SelfPlayer, std::allocator<SelfPlayer> >::vector()
  0.00      1.77     0.00  4183130     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::operator[](unsigned long)
  0.00      1.77     0.00  1277601     0.00     0.00  Node::increment_visits()
  0.00      1.77     0.00   476388     0.00     0.00  unsigned int&& std::forward<unsigned int>(std::remove_reference<unsigned int>::type&)
  0.00      1.77     0.00   316998     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_Deque_iterator(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&)
  0.00      1.77     0.00   316800     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::operator*() const
  0.00      1.77     0.00   316800     0.00     0.00  std::remove_reference<unsigned int&>::type&& std::move<unsigned int&>(unsigned int&)
  0.00      1.77     0.00   191985     0.00     0.00  std::_Base_bitset<1ul>::_M_getword(unsigned long) const
  0.00      1.77     0.00   160014     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.77     0.00   158499     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::empty() const
  0.00      1.77     0.00   158499     0.00     0.00  std::queue<unsigned int, std::deque<unsigned int, std::allocator<unsigned int> > >::empty() const
  0.00      1.77     0.00   158499     0.00     0.00  std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator()
  0.00      1.77     0.00   158499     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::end()
  0.00      1.77     0.00   158499     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::begin()
